DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200204199,1/5/2020,Rampart,330,BURGLARY FROM VEHICLE,39,M,H,Hispanic,STREET,,34.0567,-118.2603
211200772,9/6/2021,77th Street,520,VEHICLE - ATTEMPT STOLEN,33,F,B,Black,STREET,,33.9708,-118.2745
200400781,5/10/2020,Hollenbeck,901,VIOLATION OF RESTRAINING ORDER,49,M,H,Hispanic,SINGLE FAMILY DWELLING,,34.0495,-118.2061
210612197,7/5/2021,Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,M,H,Hispanic,STREET,,34.0928,-118.3132
200204856,1/17/2020,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,F,A,Asian,STREET,MACE/PEPPER SPRAY,34.0514,-118.2743
210400696,3/29/2021,Hollenbeck,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,H,Hispanic,STREET,UNKNOWN FIREARM,34.0128,-118.2059
200506539,2/29/2020,Harbor,330,BURGLARY FROM VEHICLE,40,F,W,White,SINGLE FAMILY DWELLING,,33.7334,-118.3056
211220294,9/23/2021,77th Street,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",15,F,H,Hispanic,SINGLE FAMILY DWELLING,,33.9587,-118.315
200206742,2/24/2020,Rampart,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",66,M,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0596,-118.2749
200405526,2/8/2020,Hollenbeck,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0703,-118.2052
210307510,3/15/2021,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,64,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0046,-118.3089
210813757,9/7/2021,West LA,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,F,W,White,RESTAURANT/FAST FOOD,,34.06,-118.42
200106318,2/3/2020,Central,330,BURGLARY FROM VEHICLE,29,M,V,Asian,STREET,,34.0373,-118.2588
210809707,5/20/2021,West LA,330,BURGLARY FROM VEHICLE,24,F,A,Asian,OTHER/OUTSIDE,,34.046,-118.5593
210712470,8/27/2021,Wilshire,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",42,M,W,White,OTHER PREMISE,,34.0837,-118.3683
210807553,3/29/2021,West LA,354,THEFT OF IDENTITY,40,F,W,White,OTHER RESIDENCE,,34.1126,-118.4642
